Gene,Attribution_Score
DEFB136,-0.005266099
DEFB136,-0.0052573057
NAA25,-0.003105072
FNIP2,-0.002875024
LMO1,-0.002540672
ZNF277,-0.0025050247
TRIML1,-0.0023508323
PSEN1,-0.0023373389
PSMG2,-0.0023084036
GLOD5,-0.0022825052
DUSP18,-0.0022435181
KCTD21,-0.0022204379
TEX11,-0.0022079546
ZNF749,-0.0021796522
SFI1,-0.0021677976
NUP188,-0.0021323971
NELL1,-0.002130344
RWDD4,-0.0021217507
SPIN3,-0.0021067024
SCN9A,-0.0021019022
CYB5R4,-0.0020995005
KLHL12,-0.0020805416
TMPRSS11F,-0.002075798
ATF7IP2,-0.0020491616
TEKT2,-0.0020356022
TPST2,-0.002035457
EPHA5,-0.0019800137
PLEKHM3,-0.0019538703
PLEKHM3,-0.0019526416
SPECC1,-0.0019458684
